key,input,activity10
TYYBFXNZMFNZJT-UHFFFAOYSA-N,Ic1c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(O)=O)c2I)c(I)c(N(C(=O)C)C)c(I)c1C(=O)NC,0.19265676567656767
GVPIXRLYKVFFMK-UHFFFAOYSA-N,N1(CC2=C(CC1)c1c(Cc3c2cccc3)cccc1)C,0.5593234323432343
HOZOZZFCZRXYEK-HNHWXVNLSA-M,[Br-].O1[C@H]2[C@H]3[N+]([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)(CCCC)C,0.46188118811881185
LDEKQSIMHVQZJK-AZFZMOAFSA-N,P(Oc1ccccc1)(=O)(N[C@H](C(OC(C)C)=O)C)CO[C@@H](Cn1c2ncnc(N)c2nc1)C,0.4424092409240924
UAUIUKWPKRJZJV-MDJGTQRPSA-N,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4nc5c(c6c4cccc6)cccc5)C3)C(=O)[C@@H](NC(=O)c3ncc(nc3)C)CCCCC\C=C/[C@H]1C2)C1CC1,0.4306930693069307
PIDFDZJZLOTZTM-KHVQSSSXSA-N,O(C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)[C@H]1N([C@@H](CC1)c1ccc(NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(OC)=O)C(C)C)cc1)c1ccc(cc1)C(C)(C)C)C,0.42574257425742573
ANMLJLFWUCQGKZ-UHFFFAOYSA-N,FC(F)(F)c1cc(Nc2ncccc2C(OC2OC(=O)c3c2cccc3)=O)ccc1,0.40965346534653463
NGSFWBMYFKHRBD-UHFFFAOYSA-M,[Na+].OC(C(=O)[O-])C,
FVAUCKIRQBBSSJ-UHFFFAOYSA-M,I[Na],
PYNXFZCZUAOOQC-UTKZUKDTSA-N,O(CC)C(=O)[C@@H](C[C@H](NC(=O)CCC(O)=O)Cc1ccc(cc1)-c1ccccc1)C,0.3910891089108911
FIVSJYGQAIEMOC-ZGNKEGEESA-N,FC(F)(F)c1cc(cc(c1)[C@H](OC[C@@]1(NC[C@]2(NC(=O)CC2)CC1)c1ccccc1)C)C(F)(F)F,0.6765676567656767
NTHPAPBPFQJABD-LLVKDONJSA-N,O=C([C@@H]1CCc2[nH]cnc2C1)c1c2c(n(c1)C)cccc2,0.4084158415841584
JICJBGPOMZQUBB-UHFFFAOYSA-N,Clc1cc2S(=O)(=O)N(c3c(cccc3)C(NCCCCCCC(O)=O)c2cc1)C,0.33663366336633666
QTGAJCQTLIRCFL-UHFFFAOYSA-N,O(C(=O)CN(CC)CC)c1ccc(NC(=O)C)cc1,0.1918316831683168
AXKPFOAXAHJUAG-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)CCCN1CCC(N2CCCCC2)(CC1)C(=O)N,0.33663366336633666
LDXSPUSKBDTEKA-UHFFFAOYSA-N,FC(F)(F)c1cc(Nc2ncccc2C(OCCN2CCOCC2)=O)ccc1,0.6037541254125413
MGSPDRWOUCPKNZ-UHFFFAOYSA-N,O1N=C(N(CCN(CC)CC)C1=N)c1ccccc1,0.6911834040546911
GSNOZLZNQMLSKJ-UHFFFAOYSA-N,n12ncnc1N=C(C=C2N(CC)CC)C,0.34983498349834985
XLFWDASMENKTKL-UHFFFAOYSA-N,o1n[n+](N2CCOCC2)cc1[N-]C(OCC)=O,0.28973950966525225
GXGAKHNRMVGRPK-UHFFFAOYSA-N,[Si](O[Si](=O)[O-])(O[Si](=O)[O-])([O-])[O-].[Mg+2].[Mg+2],
AMEROGPZOLAFBN-UHFFFAOYSA-N,S=C(N(C)C)CC=1C(=O)N(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)C(=NC=1C)CCCC,0.7227722772277227
SGMZJAMFUVOLNK-UHFFFAOYSA-M,[Cl-].OCC[N+](C)(C)C,
LTEMOXGFFHXNNS-UHFFFAOYSA-L,[Au]SC(CC(O)=O)C(=O)[O-].[Na+],
FIHJKUPKCHIPAT-JQXDXKTESA-N,O1[C@H]2O[C@H](OC(=O)CCC(O)=O)[C@@H]([C@H]3[C@@]24OOC1(CC[C@H]4[C@@H](CC3)C)C)C,0.21122112211221125
HWXIGFIVGWUZAO-UHFFFAOYSA-N,O1CCOC1Cn1c2c(nc1)N(C)C(=O)N(C)C2=O,0.23002030972328
QFNHIDANIVGXPE-FNZWTVRRSA-N,O(C)c1ccc(cc1C(O)=O)CN([C@@H](C)c1[nH]cc(n1)-c1ccccc1)C(=O)[C@@H](N)Cc1c(cc(cc1C)C(=O)N)C,0.32838283828382836
WLJVXDMOQOGPHL-UHFFFAOYSA-N,OC(=O)Cc1ccccc1,
GOZDTZWAMGHLDY-UHFFFAOYSA-L,S(Oc1ccc(cc1)C(c1ccc(OS(=O)(=O)[O-])cc1)c1ncccc1)(=O)(=O)[O-].[Na+].[Na+],0.7623762376237624
XXUZFRDUEGQHOV-UHFFFAOYSA-J,[Sr+2].[Sr+2].s1c(C(=O)[O-])c(CC(=O)[O-])c(C#N)c1N(CC(=O)[O-])CC(=O)[O-],0.12046204620462048
XVVOERDUTLJJHN-IAEQDCLQSA-N,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)Cc1nc[nH]c1)CCC(O)=O)[C@H](O)C)Cc1ccccc1)[C@H](O)C)CO)CC(O)=O)CC(C)C)CO)CCCCN)CCC(=O)N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)CO)C)CO)CO)C)C,0.551980198019802
SQKXYSGRELMAAU-UHFFFAOYSA-N,O=C(N)C(CCn1ccnc1C)(c1ccccc1)c1ccccc1,0.5206270627062707
ZPLQIPFOCGIIHV-UHFFFAOYSA-N,ClC1=CNC(=O)C=C1O,0.05495049504950496
WFWLQNSHRPWKFK-UHFFFAOYSA-N,FC1=CN(C2OCCC2)C(=O)NC1=O,0.17376237623762378
MXUNKHLAEDCYJL-UHFFFAOYSA-N,O1C(CN(c2cc(ccc2)C)C1=O)CO,0.12830033003300328
IWVRVEIKCBFZNF-UHFFFAOYSA-N,n12c3C(NCC1)CCCc3c1cc(ccc12)C,0.6468646864686469
WRYZEGZNBYOMLE-UHFFFAOYSA-N,O=C(N)c1nnc(NN)cc1,0.10891089108910891
WPNJAUFVNXKLIM-UHFFFAOYSA-N,Clc1nc(nc(OC)c1NC=1NCCN=1)C,0.3079207920792079
HTIQEAQVCYTUBX-KRWDZBQOSA-N,Clc1ccccc1[C@@H]1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN,0.5932343234323432
GKQPCPXONLDCMU-CCEZHUSRSA-N,O(C(=O)C=1C(C(C(OCC)=O)=C(NC=1C)C)c1ccccc1\C=C\C(OC(C)(C)C)=O)CC,0.25212164073550214
NSVFSAJIGAJDMR-UHFFFAOYSA-N,P1(OCC(CO1)(C)C)(=O)C=1C(C(C(OCCN(Cc2ccccc2)c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1,0.6600660066006601
